Run Index,k,Normalization Time,Train Kernel Time,Test Kernel Time,QkNN Time,Accuracy,Date,Time
5,1,0.0014913082122802734,55.448269844055176,46.709362506866455,0.034613609313964844,1.0,11/27/2024,08:49:14
5,4,0.0014913082122802734,55.448269844055176,46.709362506866455,0.039565086364746094,0.9666666666666667,11/27/2024,08:49:14
5,7,0.0014913082122802734,55.448269844055176,46.709362506866455,0.037526607513427734,1.0,11/27/2024,08:49:14
5,10,0.0014913082122802734,55.448269844055176,46.709362506866455,0.0406641960144043,1.0,11/27/2024,08:49:14
5,13,0.0014913082122802734,55.448269844055176,46.709362506866455,0.07578873634338379,1.0,11/27/2024,08:49:14
5,17,0.0014913082122802734,55.448269844055176,46.709362506866455,0.06765508651733398,1.0,11/27/2024,08:49:14
5,20,0.0014913082122802734,55.448269844055176,46.709362506866455,0.04152655601501465,1.0,11/27/2024,08:49:14
5,23,0.0014913082122802734,55.448269844055176,46.709362506866455,0.0423579216003418,1.0,11/27/2024,08:49:15
5,26,0.0014913082122802734,55.448269844055176,46.709362506866455,0.04014325141906738,1.0,11/27/2024,08:49:15
5,30,0.0014913082122802734,55.448269844055176,46.709362506866455,0.03598523139953613,1.0,11/27/2024,08:49:15
