Run Index,k,QkNN Time,Accuracy,Date,Time
2,1,0.02418684959411621,1.0,11/27/2024,09:07:54
2,2,0.01701188087463379,1.0,11/27/2024,09:07:54
2,3,0.023826122283935547,1.0,11/27/2024,09:07:55
2,4,0.021009445190429688,0.9666666666666667,11/27/2024,09:07:55
2,5,0.015214204788208008,1.0,11/27/2024,09:07:55
2,6,0.02110147476196289,1.0,11/27/2024,09:07:55
2,7,0.022100448608398438,1.0,11/27/2024,09:07:55
2,8,0.021651744842529297,1.0,11/27/2024,09:07:55
2,9,0.018488407135009766,1.0,11/27/2024,09:07:55
2,10,0.0126953125,1.0,11/27/2024,09:07:55
2,11,0.01201009750366211,1.0,11/27/2024,09:07:55
2,12,0.02467799186706543,1.0,11/27/2024,09:07:55
2,13,0.01995229721069336,1.0,11/27/2024,09:07:55
2,14,0.015522003173828125,1.0,11/27/2024,09:07:55
2,15,0.00900578498840332,1.0,11/27/2024,09:07:55
2,16,0.009999752044677734,1.0,11/27/2024,09:07:55
2,17,0.008615493774414062,1.0,11/27/2024,09:07:55
2,18,0.00872492790222168,1.0,11/27/2024,09:07:55
2,19,0.011992931365966797,1.0,11/27/2024,09:07:55
2,20,0.010896682739257812,1.0,11/27/2024,09:07:55
2,21,0.014004707336425781,1.0,11/27/2024,09:07:55
2,22,0.00950932502746582,1.0,11/27/2024,09:07:55
2,23,0.010001420974731445,1.0,11/27/2024,09:07:55
2,24,0.009000778198242188,1.0,11/27/2024,09:07:55
2,25,0.009005069732666016,1.0,11/27/2024,09:07:55
2,26,0.009511470794677734,1.0,11/27/2024,09:07:55
2,27,0.008999109268188477,1.0,11/27/2024,09:07:55
2,28,0.010017633438110352,1.0,11/27/2024,09:07:55
2,29,0.02255535125732422,1.0,11/27/2024,09:07:55
2,30,0.02208423614501953,1.0,11/27/2024,09:07:55
