Run Index,k,Normalization Time,Train Kernel Time,Test Kernel Time,QkNN Time,Accuracy,Date,Time
1,1,0.005001544952392578,40.348206758499146,27.724541902542114,0.03652238845825195,1.0,11/27/2024,08:44:31
1,4,0.005001544952392578,40.348206758499146,27.724541902542114,0.029632091522216797,0.9666666666666667,11/27/2024,08:44:31
1,7,0.005001544952392578,40.348206758499146,27.724541902542114,0.03641366958618164,1.0,11/27/2024,08:44:31
1,10,0.005001544952392578,40.348206758499146,27.724541902542114,0.029997825622558594,1.0,11/27/2024,08:44:31
1,13,0.005001544952392578,40.348206758499146,27.724541902542114,0.030503273010253906,1.0,11/27/2024,08:44:31
1,17,0.005001544952392578,40.348206758499146,27.724541902542114,0.03013157844543457,1.0,11/27/2024,08:44:31
1,20,0.005001544952392578,40.348206758499146,27.724541902542114,0.031014680862426758,1.0,11/27/2024,08:44:31
1,23,0.005001544952392578,40.348206758499146,27.724541902542114,0.034073829650878906,1.0,11/27/2024,08:44:31
1,26,0.005001544952392578,40.348206758499146,27.724541902542114,0.03853440284729004,1.0,11/27/2024,08:44:31
1,30,0.005001544952392578,40.348206758499146,27.724541902542114,0.04025530815124512,1.0,11/27/2024,08:44:31
