Run Index,k,QkNN Time,Accuracy,Date,Time
1,16,0.012512683868408203,1.0,11/27/2024,08:57:37
1,18,0.011013984680175781,1.0,11/27/2024,08:57:37
1,2,0.011000394821166992,1.0,11/27/2024,08:57:37
1,1,0.011521100997924805,1.0,11/27/2024,08:57:37
1,28,0.013513565063476562,1.0,11/27/2024,08:57:37
1,12,0.010998249053955078,1.0,11/27/2024,08:57:37
1,27,0.02100205421447754,1.0,11/27/2024,08:57:37
1,13,0.015521526336669922,1.0,11/27/2024,08:57:37
1,6,0.010999441146850586,1.0,11/27/2024,08:57:37
1,20,0.010000944137573242,1.0,11/27/2024,08:57:37
