Run Index,k,QkNN Time,Accuracy,Date,Time
3,1,0.020000934600830078,1.0,11/27/2024,09:07:56
3,2,0.014999866485595703,1.0,11/27/2024,09:07:56
3,3,0.014713525772094727,1.0,11/27/2024,09:07:56
3,4,0.01791214942932129,0.9666666666666667,11/27/2024,09:07:56
3,5,0.011536359786987305,1.0,11/27/2024,09:07:56
3,6,0.019509315490722656,1.0,11/27/2024,09:07:56
3,7,0.0170443058013916,1.0,11/27/2024,09:07:56
3,8,0.014055490493774414,1.0,11/27/2024,09:07:56
3,9,0.021622657775878906,1.0,11/27/2024,09:07:56
3,10,0.01700568199157715,1.0,11/27/2024,09:07:56
3,11,0.010579347610473633,1.0,11/27/2024,09:07:56
3,12,0.020603418350219727,1.0,11/27/2024,09:07:56
3,13,0.02800893783569336,1.0,11/27/2024,09:07:56
3,14,0.017546415328979492,1.0,11/27/2024,09:07:56
3,15,0.012043476104736328,1.0,11/27/2024,09:07:56
3,16,0.009001493453979492,1.0,11/27/2024,09:07:56
3,17,0.008542776107788086,1.0,11/27/2024,09:07:56
3,18,0.008000612258911133,1.0,11/27/2024,09:07:56
3,19,0.00802302360534668,1.0,11/27/2024,09:07:56
3,20,0.00803995132446289,1.0,11/27/2024,09:07:56
3,21,0.007998943328857422,1.0,11/27/2024,09:07:56
3,22,0.007992982864379883,1.0,11/27/2024,09:07:56
3,23,0.008894205093383789,1.0,11/27/2024,09:07:56
3,24,0.018613100051879883,1.0,11/27/2024,09:07:56
3,25,0.031249284744262695,1.0,11/27/2024,09:07:56
3,26,0.02810215950012207,1.0,11/27/2024,09:07:56
3,27,0.015908479690551758,1.0,11/27/2024,09:07:56
3,28,0.013009309768676758,1.0,11/27/2024,09:07:56
3,29,0.011102676391601562,1.0,11/27/2024,09:07:56
3,30,0.009112834930419922,1.0,11/27/2024,09:07:56
